source_node,target_node,similarity
1844,2664,1.0
1844,3333,1.0
3409,2882,1.0
3409,139,1.0
3409,1865,1.0
3115,3316,1.0
129,1073,1.0
129,886,1.0
129,1588,1.0
129,1187,1.0
129,659,1.0
129,3698,1.0
129,3214,1.0
129,849,1.0
1181,3508,1.0
1181,2436,1.0
1181,1012,1.0
1181,683,1.0
1181,145,1.0
1181,3943,1.0
1181,1933,1.0
3937,2018,1.0
3937,3733,1.0
3937,3006,1.0
3580,85,1.0
3580,3932,1.0
3580,1727,1.0
3580,186,1.0
3580,3284,1.0
3026,1870,1.0
2355,574,1.0
2355,182,1.0
2355,2678,1.0
2355,1828,1.0
2355,1283,1.0
1552,1592,1.0
1552,1096,1.0
1974,333,1.0
1974,2420,1.0
1974,846,1.0
395,1693,1.0
395,804,1.0
2284,2893,1.0
1707,225,1.0
1707,3063,1.0
1539,313,1.0
1539,2043,1.0
1539,1683,1.0
1539,3848,1.0
1918,2511,1.0
1918,3694,1.0
1918,3260,1.0
612,3705,1.0
612,889,1.0
612,898,1.0
612,559,1.0
612,940,1.0
612,79,1.0
1784,3058,1.0
1784,1677,1.0
1784,709,1.0
1784,1448,1.0
1784,346,1.0
3656,3167,1.0
3656,3084,1.0
3656,3012,1.0
3656,676,1.0
1480,3872,1.0
3112,1480,1.0
3112,2693,1.0
3112,735,1.0
3886,1559,1.0
3886,2477,1.0
3886,2899,1.0
3886,670,1.0
3886,2860,1.0
3723,3130,1.0
3723,2345,1.0
3723,59,1.0
3723,533,1.0
3723,3823,1.0
122,3140,1.0
122,2270,1.0
122,1021,1.0
3765,558,1.0
3765,1425,1.0
3765,3869,1.0
3765,2226,1.0
3765,3393,1.0
3765,741,1.0
649,825,1.0
649,1671,1.0
649,952,1.0
649,2228,1.0
649,1492,1.0
649,423,1.0
225,3972,1.0
225,3054,1.0
225,2585,1.0
225,2462,1.0
3954,3991,1.0
3954,3350,1.0
3801,1380,1.0
3801,3252,1.0
3801,3048,1.0
3801,2323,1.0
3801,2235,1.0
356,3333,1.0
356,1211,1.0
2124,1350,1.0
2124,1758,1.0
2124,3776,1.0
2124,97,1.0
3283,2930,1.0
3283,1267,1.0
3522,3450,1.0
3522,515,1.0
3522,3480,1.0
3522,660,1.0
3522,3712,1.0
3518,3557,1.0
3518,3069,1.0
1375,2696,1.0
1375,821,1.0
1375,1897,1.0
1375,632,1.0
1375,1964,1.0
2408,64,1.0
2408,2129,1.0
2408,745,1.0
2515,1330,1.0
2515,1173,1.0
2515,1013,1.0
2515,2008,1.0
2515,3413,1.0
828,399,1.0
828,3956,1.0
828,750,1.0
828,3627,1.0
828,2819,1.0
1234,1141,1.0
1234,2761,1.0
3538,3814,1.0
3538,1177,1.0
3538,1084,1.0
3538,257,1.0
3538,178,1.0
3538,1000,1.0
519,3917,1.0
519,3742,1.0
519,2832,1.0
519,3806,1.0
519,3442,1.0
519,2897,1.0
2997,3429,1.0
2997,3658,1.0
2997,3900,1.0
2319,2917,1.0
2319,2508,1.0
3348,2223,1.0
3348,202,1.0
3348,1656,1.0
2678,2192,1.0
2678,2201,1.0
2678,128,1.0
1407,541,1.0
1407,173,1.0
1407,872,1.0
1407,80,1.0
3114,3487,1.0
3114,2233,1.0
3114,751,1.0
3802,1951,1.0
3802,2814,1.0
3802,3737,1.0
2221,1225,1.0
2221,496,1.0
2465,1314,1.0
2465,210,1.0
3940,2411,1.0
3940,913,1.0
3940,2003,1.0
3940,3012,1.0
3144,2364,1.0
3144,86,1.0
3144,2834,1.0
3144,3940,1.0
3144,3820,1.0
1934,3367,1.0
1934,1820,1.0
1934,971,1.0
1934,3582,1.0
1934,2809,1.0
2026,3210,1.0
2026,340,1.0
2026,3481,1.0
2026,3386,1.0
2640,740,1.0
2640,3681,1.0
2640,887,1.0
2640,2826,1.0
2631,1597,1.0
2631,199,1.0
1797,2179,1.0
1797,3701,1.0
1797,1907,1.0
1538,2364,1.0
1538,1559,1.0
1538,2331,1.0
1538,793,1.0
1538,3205,1.0
2657,3295,1.0
2657,3414,1.0
2657,3275,1.0
2657,3258,1.0
2657,3282,1.0
2657,1286,1.0
2657,708,1.0
2657,3770,1.0
278,3262,1.0
278,1168,1.0
278,1538,1.0
278,3146,1.0
278,2657,1.0
278,3622,1.0
278,47,1.0
3647,3500,1.0
3647,3185,1.0
3647,1199,1.0
3647,3872,1.0
3647,2584,1.0
3647,1652,1.0
3137,2752,1.0
3137,278,1.0
3137,2448,1.0
3137,3647,1.0
3137,3809,1.0
3137,2162,1.0
2228,2678,1.0
2228,3141,1.0
2228,2484,1.0
2228,2027,1.0
2228,3336,1.0
3837,2582,1.0
3837,558,1.0
3837,157,1.0
3837,1584,1.0
3618,1249,1.0
3618,1809,1.0
3618,1672,1.0
3618,382,1.0
2688,2037,1.0
2500,2093,1.0
2500,2074,1.0
1584,1013,1.0
1584,3896,1.0
1584,3426,1.0
1584,3560,1.0
1584,3765,1.0
1584,1914,1.0
1584,2185,1.0
1584,1832,1.0
1584,819,1.0
889,874,1.0
889,1142,1.0
889,3569,1.0
3989,2912,1.0
3752,2866,1.0
3752,2281,1.0
3752,3763,1.0
3752,3720,1.0
1502,2126,1.0
50,973,1.0
50,1070,1.0
50,2946,1.0
50,2487,1.0
50,1549,1.0
50,1589,1.0
50,3260,1.0
1123,3192,1.0
1123,873,1.0
1123,3540,1.0
1123,2702,1.0
1123,3209,1.0
1123,2705,1.0
1123,50,1.0
1086,1455,1.0
1086,2839,1.0
1086,2323,1.0
1086,2416,1.0
1086,1497,1.0
1086,2222,1.0
309,916,1.0
309,1664,1.0
3133,3467,1.0
3133,3169,1.0
3133,1862,1.0
3133,448,1.0
3133,87,1.0
3133,2304,1.0
1791,3072,1.0
1791,471,1.0
1791,870,1.0
1791,1232,1.0
1791,96,1.0
1791,1554,1.0
3703,1218,1.0
3703,3599,1.0
3703,2403,1.0
2904,3723,1.0
2904,1974,1.0
2904,1212,1.0
1094,1436,1.0
1094,3023,1.0
1094,3873,1.0
2641,907,1.0
2641,851,1.0
2641,2111,1.0
2641,3623,1.0
2641,212,1.0
3767,1726,1.0
3767,904,1.0
3767,2953,1.0
761,1821,1.0
761,3477,1.0
761,1773,1.0
3305,1870,1.0
3305,3736,1.0
3305,653,1.0
2066,1262,1.0
2066,3890,1.0
2066,59,1.0
2066,3538,1.0
1737,2066,1.0
1737,1590,1.0
2364,1494,1.0
2364,3305,1.0
2364,1737,1.0
2728,3502,1.0
2728,2425,1.0
2728,2281,1.0
2728,2067,1.0
2728,1085,1.0
2728,3555,1.0
2036,2660,1.0
2036,3397,1.0
857,3250,1.0
857,1830,1.0
886,375,1.0
886,3772,1.0
886,3872,1.0
886,1082,1.0
886,781,1.0
886,1018,1.0
886,985,1.0
886,2193,1.0
1214,2437,1.0
1214,1925,1.0
1214,205,1.0
3567,3139,1.0
3567,2702,1.0
3567,3516,1.0
3567,3439,1.0
2910,2307,1.0
2910,307,1.0
2910,3068,1.0
2325,2972,1.0
2325,2055,1.0
2325,3224,1.0
2325,992,1.0
2325,632,1.0
2325,36,1.0
2325,1769,1.0
2325,2848,1.0
2325,1799,1.0
3286,784,1.0
604,65,1.0
604,1736,1.0
4000,988,1.0
1758,2017,1.0
1758,2173,1.0
1758,3673,1.0
3472,3495,1.0
3472,1893,1.0
3472,3530,1.0
235,3472,1.0
235,3002,1.0
235,2136,1.0
2741,2747,1.0
2741,1491,1.0
2741,645,1.0
2741,1729,1.0
983,705,1.0
983,377,1.0
11,995,1.0
11,1325,1.0
11,3005,1.0
1842,166,1.0
1842,385,1.0
1842,2777,1.0
1842,513,1.0
1842,156,1.0
3981,965,1.0
3354,3240,1.0
3354,2114,1.0
3354,1079,1.0
3354,662,1.0
3038,344,1.0
3038,2067,1.0
3038,1345,1.0
3588,2051,1.0
3588,3140,1.0
3588,3708,1.0
3588,1903,1.0
3588,3501,1.0
3588,3038,1.0
3588,1880,1.0
7,2767,1.0
7,832,1.0
7,3484,1.0
7,941,1.0
7,603,1.0
7,69,1.0
2863,1903,1.0
2863,3877,1.0
2863,1842,1.0
3828,1854,1.0
3828,3013,1.0
414,607,1.0
414,3828,1.0
414,1665,1.0
414,1039,1.0
414,1470,1.0
414,3396,1.0
414,696,1.0
3573,3112,1.0
3573,2456,1.0
3573,2741,1.0
3573,3852,1.0
3573,3886,1.0
3573,292,1.0
2792,2408,1.0
2792,1333,1.0
2792,1721,1.0
2792,2548,1.0
2792,206,1.0
2792,1477,1.0
2792,938,1.0
2792,3607,1.0
2792,1733,1.0
424,775,1.0
424,2649,1.0
424,3067,1.0
424,1250,1.0
424,442,1.0
424,659,1.0
233,2437,1.0
233,1503,1.0
233,2464,1.0
233,3449,1.0
1188,3454,1.0
1188,851,1.0
710,2541,1.0
710,3843,1.0
710,3057,1.0
710,1351,1.0
710,1736,1.0
1257,2035,1.0
1257,2703,1.0
693,3367,1.0
693,3438,1.0
693,1257,1.0
693,3257,1.0
693,3699,1.0
2016,2451,1.0
2016,3760,1.0
2016,1097,1.0
2016,3108,1.0
2016,56,1.0
2979,1141,1.0
2979,2952,1.0
2979,2126,1.0
2979,2279,1.0
418,2546,1.0
418,172,1.0
418,2682,1.0
418,2376,1.0
2022,529,1.0
2022,1848,1.0
1720,2630,1.0
1720,476,1.0
1720,33,1.0
1720,2073,1.0
1720,2146,1.0
1720,1957,1.0
1240,1413,1.0
1240,1387,1.0
1240,35,1.0
1240,885,1.0
1240,3497,1.0
1240,200,1.0
1240,1720,1.0
1240,725,1.0
2190,3335,1.0
2190,502,1.0
692,1995,1.0
692,539,1.0
2965,3998,1.0
2965,2831,1.0
2965,145,1.0
2965,3287,1.0
2965,3121,1.0
2973,3986,1.0
2973,3893,1.0
1219,3010,1.0
1219,1627,1.0
1219,2878,1.0
1219,2729,1.0
1219,242,1.0
1814,3375,1.0
1814,1824,1.0
1814,213,1.0
1814,1907,1.0
2437,245,1.0
2437,3875,1.0
2437,1651,1.0
2437,1535,1.0
3812,3955,1.0
3812,1403,1.0
3812,3195,1.0
3467,1322,1.0
3467,2487,1.0
3467,1178,1.0
967,3467,1.0
967,2008,1.0
967,1215,1.0
967,1554,1.0
2396,1548,1.0
2396,3710,1.0
2396,3719,1.0
2396,967,1.0
3104,3749,1.0
3104,2903,1.0
3104,2901,1.0
2958,2197,1.0
2958,302,1.0
2958,3423,1.0
2958,16,1.0
2958,3044,1.0
2958,991,1.0
2964,1625,1.0
2964,552,1.0
2964,455,1.0
3187,3990,1.0
3187,2764,1.0
3187,1771,1.0
2211,313,1.0
2211,3114,1.0
2211,3349,1.0
2211,210,1.0
2211,3839,1.0
2211,3879,1.0
2211,3285,1.0
2211,2161,1.0
1785,3238,1.0
1785,3187,1.0
1785,2211,1.0
1178,1748,1.0
1944,748,1.0
1944,370,1.0
1944,196,1.0
1944,670,1.0
1944,3491,1.0
1057,3316,1.0
1057,847,1.0
3300,2602,1.0
3300,3215,1.0
3300,2733,1.0
41,3694,1.0
41,709,1.0
41,3142,1.0
41,455,1.0
3288,2054,1.0
3288,866,1.0
937,2503,1.0
937,1040,1.0
2606,3483,1.0
2606,3313,1.0
2606,1283,1.0
3540,3509,1.0
3540,2503,1.0
3540,1320,1.0
3540,1652,1.0
3849,3050,1.0
3849,242,1.0
3849,3150,1.0
3849,1515,1.0
1597,3849,1.0
2442,1400,1.0
2442,1029,1.0
2442,215,1.0
2442,2352,1.0
3870,547,1.0
3870,3605,1.0
3870,2693,1.0
3870,1066,1.0
3870,1586,1.0
3870,3685,1.0
3329,3432,1.0
3329,62,1.0
3329,1131,1.0
315,49,1.0
315,1043,1.0
315,2362,1.0
315,1570,1.0
315,3410,1.0
315,434,1.0
315,2413,1.0
315,517,1.0
1682,1926,1.0
1682,3013,1.0
1682,3179,1.0
1682,648,1.0
1682,2336,1.0
1682,136,1.0
988,3202,1.0
988,1849,1.0
1121,2629,1.0
1121,1509,1.0
1121,988,1.0
3473,1121,1.0
566,663,1.0
566,3742,1.0
566,2975,1.0
566,2023,1.0
2615,3436,1.0
2615,3977,1.0
3094,3987,1.0
3094,649,1.0
3094,471,1.0
3094,3178,1.0
3654,2396,1.0
3654,1557,1.0
3654,510,1.0
3654,3048,1.0
3654,1541,1.0
793,3448,1.0
793,2472,1.0
793,2570,1.0
793,2234,1.0
177,2889,1.0
177,2746,1.0
177,238,1.0
177,918,1.0
105,2731,1.0
105,177,1.0
105,1662,1.0
105,3859,1.0
3163,10,1.0
3163,1762,1.0
3163,2584,1.0
875,2477,1.0
875,3765,1.0
875,3238,1.0
875,1480,1.0
875,2509,1.0
1869,3600,1.0
1869,3593,1.0
31,1704,1.0
31,3402,1.0
31,2809,1.0
31,2708,1.0
376,44,1.0
376,291,1.0
376,875,1.0
376,1273,1.0
376,3869,1.0
376,962,1.0
376,2926,1.0
376,1869,1.0
376,31,1.0
376,1850,1.0
376,3627,1.0
376,3563,1.0
3105,3759,1.0
3105,215,1.0
3105,3791,1.0
321,2252,1.0
321,2463,1.0
1040,1162,1.0
1040,1327,1.0
1040,819,1.0
1040,3577,1.0
2471,1101,1.0
2471,2944,1.0
2471,701,1.0
2471,423,1.0
2283,1327,1.0
2006,477,1.0
2006,576,1.0
2509,866,1.0
2509,106,1.0
2509,2130,1.0
688,2006,1.0
688,2243,1.0
688,2509,1.0
2584,1588,1.0
2584,1061,1.0
3393,688,1.0
3393,2826,1.0
1223,2409,1.0
1223,2767,1.0
1223,2316,1.0
1223,1957,1.0
1419,49,1.0
1419,3276,1.0
1419,822,1.0
1419,3684,1.0
1419,1223,1.0
1419,504,1.0
1419,3655,1.0
1419,2061,1.0
1419,306,1.0
303,1663,1.0
303,317,1.0
303,2040,1.0
303,3672,1.0
303,3988,1.0
303,2011,1.0
303,2098,1.0
524,1623,1.0
524,1996,1.0
524,935,1.0
524,2075,1.0
991,3519,1.0
991,1045,1.0
991,2297,1.0
991,524,1.0
991,3820,1.0
991,1140,1.0
3150,2025,1.0
3150,3204,1.0
3150,2507,1.0
2116,3293,1.0
2116,749,1.0
997,2299,1.0
997,2592,1.0
997,2008,1.0
997,3150,1.0
997,2545,1.0
997,2116,1.0
997,3246,1.0
2038,199,1.0
2038,3264,1.0
369,3556,1.0
3721,3744,1.0
3721,2799,1.0
3721,1339,1.0
3721,1458,1.0
2714,1562,1.0
2714,228,1.0
2714,3151,1.0
2714,3317,1.0
543,2540,1.0
543,2503,1.0
543,1621,1.0
543,689,1.0
2948,2161,1.0
2948,1515,1.0
2948,3575,1.0
3850,3381,1.0
3850,3323,1.0
3850,1836,1.0
3850,1085,1.0
3850,2660,1.0
1929,718,1.0
1929,3132,1.0
1929,1683,1.0
1929,955,1.0
1929,173,1.0
3295,2471,1.0
1136,3295,1.0
1136,1787,1.0
1136,2300,1.0
1136,2598,1.0
1963,3690,1.0
1963,3438,1.0
1963,1136,1.0
1963,453,1.0
1963,3603,1.0
1963,289,1.0
1963,2666,1.0
2989,3102,1.0
2989,2844,1.0
2989,3206,1.0
2989,3952,1.0
2989,2481,1.0
2989,851,1.0
2989,1242,1.0
2989,3218,1.0
2989,3397,1.0
1789,129,1.0
1789,196,1.0
1789,3275,1.0
1789,2883,1.0
1789,2916,1.0
2383,1600,1.0
2383,503,1.0
2383,3189,1.0
2383,3096,1.0
2053,2383,1.0
26,262,1.0
26,1118,1.0
26,3524,1.0
26,2360,1.0
1913,348,1.0
1913,2925,1.0
1913,1236,1.0
1913,2566,1.0
1913,3869,1.0
2809,2719,1.0
2809,3578,1.0
2809,3022,1.0
2809,693,1.0
2809,2016,1.0
2809,2420,1.0
567,1189,1.0
567,999,1.0
567,2643,1.0
567,2902,1.0
567,1913,1.0
567,2809,1.0
567,346,1.0
3480,2998,1.0
3480,1518,1.0
3480,2319,1.0
3480,1139,1.0
3480,897,1.0
2971,167,1.0
2971,3265,1.0
2971,2104,1.0
2971,1951,1.0
2971,3041,1.0
2971,1867,1.0
2024,2569,1.0
2024,218,1.0
2024,3568,1.0
2024,3504,1.0
2024,3442,1.0
2024,251,1.0
2746,1440,1.0
2746,2683,1.0
2746,168,1.0
2746,3641,1.0
2746,971,1.0
2746,473,1.0
3252,2033,1.0
3252,3521,1.0
3860,350,1.0
3324,3217,1.0
1141,275,1.0
1141,2860,1.0
1141,1398,1.0
1141,819,1.0
3136,1995,1.0
3136,616,1.0
2797,3267,1.0
2797,1798,1.0
2797,94,1.0
2797,572,1.0
2797,122,1.0
2797,2699,1.0
2797,1539,1.0
2371,2797,1.0
2371,3532,1.0
2371,917,1.0
2371,366,1.0
2371,1023,1.0
2371,1084,1.0
2371,909,1.0
3785,2892,1.0
3785,2729,1.0
3785,991,1.0
2103,2792,1.0
2103,87,1.0
466,3718,1.0
466,2199,1.0
466,1395,1.0
466,620,1.0
1523,1187,1.0
1523,1605,1.0
1523,83,1.0
1347,776,1.0
1347,2841,1.0
1347,1859,1.0
1347,2845,1.0
1347,1823,1.0
457,3346,1.0
457,3651,1.0
93,621,1.0
260,2975,1.0
260,2492,1.0
2410,3183,1.0
2410,1106,1.0
2410,1781,1.0
1037,3655,1.0
1037,370,1.0
1037,324,1.0
1037,1966,1.0
2070,3586,1.0
2070,3575,1.0
3415,2432,1.0
3415,3232,1.0
3415,1112,1.0
45,3609,1.0
45,2242,1.0
45,1657,1.0
45,300,1.0
45,2765,1.0
1379,3977,1.0
1379,806,1.0
1379,776,1.0
1379,2281,1.0
1379,1424,1.0
1379,45,1.0
2302,2612,1.0
2302,1180,1.0
2302,42,1.0
2302,3816,1.0
2302,2799,1.0
2302,3759,1.0
742,2973,1.0
742,2200,1.0
742,2161,1.0
742,838,1.0
742,2528,1.0
536,2482,1.0
536,742,1.0
1579,3578,1.0
1579,536,1.0
2506,2980,1.0
2506,641,1.0
2506,3307,1.0
2506,834,1.0
2506,1281,1.0
1519,1129,1.0
1519,2506,1.0
1519,3972,1.0
1519,3462,1.0
1519,2290,1.0
1519,1773,1.0
1581,3564,1.0
1581,2677,1.0
1581,2071,1.0
1581,1762,1.0
1740,602,1.0
3814,381,1.0
3814,2998,1.0
3814,2382,1.0
2614,384,1.0
2614,2163,1.0
181,3263,1.0
181,2614,1.0
181,2992,1.0
181,1941,1.0
3963,3467,1.0
3963,1320,1.0
3963,3348,1.0
3963,3234,1.0
3963,3848,1.0
2028,3814,1.0
2028,1116,1.0
2028,211,1.0
2028,3816,1.0
2028,1471,1.0
2028,1358,1.0
2028,3963,1.0
2028,634,1.0
2832,1012,1.0
2666,652,1.0
2666,3539,1.0
2666,2019,1.0
2666,2575,1.0
3426,3236,1.0
3426,286,1.0
542,3426,1.0
542,2306,1.0
542,2149,1.0
542,1328,1.0
542,306,1.0
364,2416,1.0
364,1061,1.0
3622,2719,1.0
3622,1623,1.0
3622,764,1.0
3622,915,1.0
3622,1276,1.0
3622,3514,1.0
3347,2048,1.0
3347,2604,1.0
3347,3371,1.0
3347,1009,1.0
3347,3657,1.0
157,364,1.0
157,3622,1.0
157,3347,1.0
657,2419,1.0
657,2063,1.0
657,1034,1.0
3639,3385,1.0
3639,976,1.0
3639,3056,1.0
3639,1951,1.0
3639,1545,1.0
3639,2726,1.0
3362,1763,1.0
3362,2753,1.0
3362,959,1.0
3362,27,1.0
3362,3999,1.0
2481,695,1.0
1456,496,1.0
810,2986,1.0
66,678,1.0
66,810,1.0
66,1528,1.0
3334,3909,1.0
3334,707,1.0
3334,857,1.0
3334,1043,1.0
2847,912,1.0
2847,2054,1.0
2847,1732,1.0
2847,2335,1.0
2847,2737,1.0
2847,1704,1.0
2847,2254,1.0
3736,2878,1.0
134,2399,1.0
134,689,1.0
134,839,1.0
134,1518,1.0
134,2768,1.0
134,2813,1.0
2528,3317,1.0
2528,841,1.0
3845,1380,1.0
3845,3904,1.0
3845,3162,1.0
3845,2114,1.0
3833,1049,1.0
3833,1206,1.0
3833,745,1.0
2185,2338,1.0
2185,3833,1.0
2185,2991,1.0
2185,2297,1.0
2185,3566,1.0
2185,762,1.0
2185,3389,1.0
1213,2553,1.0
1213,3224,1.0
1213,1901,1.0
1213,3323,1.0
1213,1893,1.0
2562,1213,1.0
2562,3986,1.0
2562,2155,1.0
2562,855,1.0
769,2752,1.0
769,2120,1.0
769,3611,1.0
769,2591,1.0
769,3091,1.0
769,2056,1.0
769,1129,1.0
673,850,1.0
673,769,1.0
673,2532,1.0
2848,1425,1.0
2848,3447,1.0
2487,2896,1.0
2487,1213,1.0
2487,3434,1.0
2487,2370,1.0
2487,1209,1.0
702,1438,1.0
702,989,1.0
702,3227,1.0
2170,2370,1.0
2170,3609,1.0
2170,954,1.0
838,1042,1.0
838,2622,1.0
838,1331,1.0
838,2587,1.0
838,2000,1.0
3128,2687,1.0
3128,3359,1.0
3128,586,1.0
3128,2742,1.0
3128,1590,1.0
3128,3258,1.0
2675,995,1.0
2675,254,1.0
2675,1993,1.0
2839,3320,1.0
2839,2166,1.0
2839,1626,1.0
2839,2545,1.0
2839,1266,1.0
2839,2675,1.0
1858,1878,1.0
1858,1910,1.0
1858,2441,1.0
1858,2950,1.0
2032,572,1.0
2032,327,1.0
2032,1423,1.0
2032,776,1.0
2032,843,1.0
1425,2935,1.0
1425,230,1.0
1425,55,1.0
1524,1854,1.0
1524,2750,1.0
1524,1462,1.0
1524,2094,1.0
1524,1213,1.0
1524,149,1.0
1524,2416,1.0
1524,3929,1.0
1524,95,1.0
549,825,1.0
549,3599,1.0
549,2853,1.0
549,721,1.0
1030,1497,1.0
167,1949,1.0
167,227,1.0
1341,1400,1.0
1341,2765,1.0
1341,2785,1.0
1341,223,1.0
1712,1642,1.0
1712,3081,1.0
1712,911,1.0
1712,416,1.0
1712,123,1.0
3342,3387,1.0
3342,1415,1.0
3342,2251,1.0
3342,53,1.0
3342,1694,1.0
1927,3583,1.0
1927,613,1.0
1927,1822,1.0
1927,218,1.0
1927,1306,1.0
665,3258,1.0
665,2610,1.0
665,499,1.0
2907,731,1.0
2907,1447,1.0
2907,977,1.0
2907,3233,1.0
2907,1091,1.0
3131,3059,1.0
3131,3261,1.0
3131,3549,1.0
465,3994,1.0
465,1369,1.0
19,261,1.0
19,1064,1.0
19,940,1.0
19,413,1.0
2735,3268,1.0
2735,3378,1.0
2735,1912,1.0
2735,19,1.0
2735,2109,1.0
2466,1291,1.0
2466,1860,1.0
2466,2166,1.0
2466,2907,1.0
2466,2636,1.0
3533,2960,1.0
3533,611,1.0
3533,1607,1.0
3533,2455,1.0
3533,1841,1.0
43,3642,1.0
43,3533,1.0
3450,1742,1.0
3450,3903,1.0
3450,2338,1.0
3450,2721,1.0
3450,1011,1.0
1455,3450,1.0
1455,3057,1.0
1455,644,1.0
2237,2122,1.0
719,2237,1.0
719,1314,1.0
719,1671,1.0
719,607,1.0
1174,2753,1.0
1174,2191,1.0
1174,242,1.0
1174,2901,1.0
1711,1429,1.0
1711,2560,1.0
1711,543,1.0
1711,399,1.0
1711,2948,1.0
1711,3195,1.0
434,1174,1.0
434,902,1.0
434,1711,1.0
1335,1216,1.0
1335,3139,1.0
1335,1061,1.0
438,2429,1.0
438,1335,1.0
438,1013,1.0
438,3390,1.0
438,2001,1.0
3742,2775,1.0
3742,2538,1.0
3742,944,1.0
3742,276,1.0
3432,703,1.0
3432,1332,1.0
3432,1230,1.0
3432,1056,1.0
2704,3210,1.0
2704,3200,1.0
2704,767,1.0
2704,725,1.0
1334,3532,1.0
1334,121,1.0
1334,2754,1.0
1334,2353,1.0
1334,3541,1.0
1334,427,1.0
2177,2664,1.0
2177,486,1.0
2177,1580,1.0
3033,2177,1.0
3273,724,1.0
3273,2039,1.0
3273,3083,1.0
3204,415,1.0
3204,2229,1.0
3204,660,1.0
3204,1338,1.0
3602,1222,1.0
3602,2421,1.0
724,1956,1.0
724,3602,1.0
724,1078,1.0
2473,2291,1.0
2473,3527,1.0
2473,2939,1.0
2473,458,1.0
2473,708,1.0
2473,424,1.0
2473,438,1.0
2473,905,1.0
406,2709,1.0
406,3944,1.0
406,2473,1.0
2760,1160,1.0
2760,181,1.0
2760,3006,1.0
1614,1168,1.0
1614,2285,1.0
1614,301,1.0
2620,3915,1.0
3406,2695,1.0
3406,1198,1.0
3406,132,1.0
3406,1681,1.0
3406,1164,1.0
3406,1419,1.0
3406,274,1.0
3406,3591,1.0
3406,1842,1.0
151,3366,1.0
151,2665,1.0
151,3054,1.0
151,3626,1.0
151,3406,1.0
3731,1293,1.0
